spf_method,mode,n_nodes,rows,cols,area_proxy_enabled,root_system_id,spt_vertices,duration_ns,duration_us
real_compute_spt,proxy,36,6,6,true,0000.0000.0100,36,927288,927.288000
real_compute_spt,flat,36,6,6,false,0000.0000.0100,37,959050,959.050000
real_compute_spt,proxy,36,6,6,true,0000.0000.0100,36,916297,916.297000
real_compute_spt,flat,36,6,6,false,0000.0000.0100,37,958530,958.530000
real_compute_spt,proxy,36,6,6,true,0000.0000.0100,36,922708,922.708000
real_compute_spt,flat,36,6,6,false,0000.0000.0100,37,962221,962.221000
real_compute_spt,proxy,36,6,6,true,0000.0000.0100,36,924998,924.998000
real_compute_spt,flat,36,6,6,false,0000.0000.0100,37,952820,952.820000
real_compute_spt,proxy,36,6,6,true,0000.0000.0100,36,930548,930.548000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1790052,1790.052000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1870648,1870.648000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1787551,1787.551000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1821165,1821.165000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1779931,1779.931000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1817774,1817.774000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1817555,1817.555000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1807873,1807.873000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1782451,1782.451000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1816515,1816.515000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1826514,1826.514000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1809334,1809.334000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1796292,1796.292000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1801533,1801.533000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1799373,1799.373000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1808644,1808.644000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1795523,1795.523000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1807233,1807.233000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1785232,1785.232000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1807714,1807.714000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1787082,1787.082000
real_compute_spt,proxy,64,8,8,true,0000.0000.0100,64,1825254,1825.254000
real_compute_spt,flat,64,8,8,false,0000.0000.0100,65,1795463,1795.463000
